Riedlingen,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/17477/Riedlingen," In gespaltenem Schild vorne in Rot ein silberner (weißer) Balken, überdeckt von zwei schräg gekreuzten goldenen (gelben) Rudern, hinten in Gold (Gelb) ein roter Löwe. ",4049967-4
Winterbach,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/1690/Winterbach," In Rot ein silberner (weißer) Wellenbalken, darüber eine goldene (gelbe) Krone, darunter eine silberne (weiße) Weinberghape (Rebmesser) mit goldenem (gelbem) Griff. ",4066327-9
Fronreute,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/20988/Fronreute," In geteiltem Schild oben in Gold (Gelb) ein schreitender, hersehender blauer Löwe, unten von Rot und Gold (Gelb) mit drei Teilungen schräg gerautet. ",4429965-5
Oberreichenbach,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/6888/Oberreichenbach," Über einer erniedrigten blauen Wellenleiste in Gold (Gelb) vier bewurzelte grüne Tannen, unten von Gold (Gelb) und Rot geschacht zu zehn Plätzen. ",4751028-6
Unterstadion,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/16965/Unterstadion," In Gold (Gelb) über einem blauen Wellenbalken ein schwarzer Römerhelm, darunter eine schwarze Wolfsangel. ",7836749-9
Backnang,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/1311/Backnang," In gespaltenem Schild vorne in Silber (Weiß) drei liegende schwarze Hirschstangen übereinander, hinten in Schwarz ein blauer Reichsapfel mit goldenem (gelbem) Beschlag und Kreuz. ",4004146-3
Meßkirch,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/21174/Me%C3%9Fkirch," In Blau ein dreischwänziger, rot bezungter goldener (gelber) Löwe, der in den Pranken einen halbkreisförmig vorgebogenen roten Schaft hält, an dem zwischen den Pranken das silberne (weiße) Blatt einer Hellebarde befestigt ist. ",4038841-4
Häusern,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/15401/H%C3%A4usern, In Gold (Gelb) eine rote Burg mit drei Zinnentürmen. ,4468594-4
Lottstetten,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/15533/Lottstetten, In Rot eine goldene (gelbe) Garbe. ,7827178-2
Eschach,https://www.leo-bw.de/web/guest/detail-gis/-/Detail/details/ORT/labw_ortslexikon/4413/Eschach, In Silber (Weiß) auf grünem mit einer silbernen (weißen) Wellenleiste belegtem Hügel eine grüne Esche zwischen zwei aus dem Hügel wachsenden grünen Farnkräutern. ,7818202-5
